epoch,learning_rate
0,0.1
1,0.05
2,0.03333333333333333
3,0.025
4,0.02
5,0.016666666666666666
6,0.014285714285714287
7,0.0125
8,0.011111111111111112
9,0.01
10,0.009090909090909092
11,0.008333333333333333
12,0.007692307692307693
13,0.0071428571428571435
14,0.006666666666666667
15,0.00625
16,0.0058823529411764705
17,0.005555555555555556
18,0.005263157894736842
19,0.005
20,0.004761904761904762
21,0.004545454545454546
22,0.004347826086956522
23,0.004166666666666667
24,0.004
25,0.0038461538461538464
26,0.003703703703703704
27,0.0035714285714285718
28,0.003448275862068966
29,0.0033333333333333335
30,0.0032258064516129032
31,0.003125
32,0.0030303030303030303
33,0.0029411764705882353
34,0.002857142857142857
35,0.002777777777777778
36,0.002702702702702703
37,0.002631578947368421
38,0.002564102564102564
39,0.0025
40,0.0024390243902439024
41,0.002380952380952381
42,0.002325581395348837
43,0.002272727272727273
44,0.0022222222222222222
45,0.002173913043478261
46,0.002127659574468085
47,0.0020833333333333333
48,0.0020408163265306124
49,0.002
50,0.00196078431372549
51,0.0019230769230769232
52,0.0018867924528301887
53,0.001851851851851852
54,0.0018181818181818182
55,0.0017857142857142859
56,0.0017543859649122807
57,0.001724137931034483
58,0.0016949152542372883
59,0.0016666666666666668
60,0.001639344262295082
61,0.0016129032258064516
62,0.0015873015873015873
63,0.0015625
64,0.0015384615384615385
65,0.0015151515151515152
66,0.0014925373134328358
67,0.0014705882352941176
68,0.0014492753623188406
69,0.0014285714285714286
70,0.0014084507042253522
71,0.001388888888888889
72,0.0013698630136986301
73,0.0013513513513513514
74,0.0013333333333333335
75,0.0013157894736842105
76,0.0012987012987012987
77,0.001282051282051282
78,0.0012658227848101266
79,0.00125
80,0.0012345679012345679
81,0.0012195121951219512
82,0.0012048192771084338
83,0.0011904761904761906
84,0.0011764705882352942
85,0.0011627906976744186
86,0.0011494252873563218
87,0.0011363636363636365
88,0.0011235955056179776
89,0.0011111111111111111
90,0.001098901098901099
91,0.0010869565217391304
92,0.001075268817204301
93,0.0010638297872340426
94,0.0010526315789473684
95,0.0010416666666666667
96,0.0010309278350515464
97,0.0010204081632653062
98,0.00101010101010101
99,0.001
